Fiscal Year,Month (abbv),Component,Region,Area of Responsibility,Unique ID,Count of Officers/Agents
2021,MAY,U.S. Border Patrol,Southern Border,Laredo Sector,210500041,1
2021,JAN,Office of Field Operations,Southern Border,Laredo Field Office,210100065,2
2022,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,220600028,1
2019,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,190700011,1
2020,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,200100022,1
2021,JUN,Air and Marine Operations,Coastal/Interior,Operations Directorate,210600002,1
2019,AUG,Office of Field Operations,Southern Border,San Diego Field Office,190800063,1
2020,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,200900045,2
2020,APR,U.S. Border Patrol,Southern Border,El Centro Sector,200400013,1
2019,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,191200014,1
2022,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,220500015,1
2020,MAR,U.S. Border Patrol,Southern Border,Laredo Sector,200300029,1
2022,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,221000020,1
2021,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,211100034,1
2022,APR,U.S. Border Patrol,Southern Border,Tucson Sector,220400089,1
2022,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,220700061,1
2021,AUG,Office of Field Operations,Southern Border,San Diego Field Office,210800084,1
2020,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,201000049,1
2020,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,200200060,1
2019,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,190300011,1
2021,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,210800063,2
2022,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,220100057,1
2022,FEB,Office of Field Operations,Southern Border,San Diego Field Office,220200091,1
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600065,1
2020,JUL,U.S. Border Patrol,Southern Border,Del Rio Sector,200700007,1
2022,OCT,U.S. Border Patrol,Southern Border,Laredo Sector,221000033,1
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400008,1
2020,JUL,Office of Field Operations,Northern Border,Portland Field Office,200700107,14
2021,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,210800018,1
2022,JUL,U.S. Border Patrol,Southern Border,Yuma Sector,220700094,1
2022,APR,U.S. Border Patrol,Southern Border,Tucson Sector,220400096,1
2021,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,210600087,2
2022,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,221100035,3
2022,MAY,Office of Field Operations,Southern Border,San Diego Field Office,220500100,1
2020,APR,U.S. Border Patrol,Southern Border,San Diego Sector,200400038,2
2020,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,200200021,1
2021,JUL,U.S. Border Patrol,Southern Border,Yuma Sector,210700062,2
2019,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190100045,1
2020,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,201000014,1
2019,FEB,U.S. Border Patrol,Southern Border,Laredo Sector,190200021,1
2022,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,220800030,1
2019,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,190600020,1
2020,OCT,U.S. Border Patrol,Southern Border,Laredo Sector,201000028,1
2020,MAR,U.S. Border Patrol,Southern Border,Laredo Sector,200300033,1
2020,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,200500033,1
2022,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,221200070,1
2020,AUG,U.S. Border Patrol,Northern Border,Swanton Sector,200800049,1
2022,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,221000021,1
2021,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,210100018,1
2021,JAN,U.S. Border Patrol,Southern Border,Del Rio Sector,210100010,1
2020,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,201200039,1
2019,NOV,U.S. Border Patrol,Southern Border,Laredo Sector,191100020,1
2019,JAN,Office of Field Operations,Southern Border,Laredo Field Office,190100080,2
2020,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,200900051,1
2020,SEP,Air and Marine Operations,Coastal/Interior,Operations Directorate,200900004,1
2021,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,210500064,1
2020,JUL,U.S. Border Patrol,Northern Border,Blaine Sector,200700079,7
2022,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,221100058,1
2022,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,220100074,2
2020,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,200900052,1
2020,JUL,U.S. Border Patrol,Southern Border,El Paso Sector,200700034,2
2021,OCT,U.S. Border Patrol,Southern Border,Del Rio Sector,211000008,1
2022,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220100039,1
2022,AUG,Office of Field Operations,Southern Border,Laredo Field Office,220800106,1
2021,MAY,U.S. Border Patrol,Southern Border,Del Rio Sector,210500012,1
2019,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,191000010,1
2020,DEC,U.S. Border Patrol,Southern Border,Laredo Sector,201200019,1
2020,JUL,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,200700050,1
2019,APR,U.S. Border Patrol,Southern Border,El Centro Sector,190400011,1
2020,JUL,U.S. Border Patrol,Southern Border,San Diego Sector,200700058,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400044,1
2020,JAN,Office of Field Operations,Southern Border,San Diego Field Office,200100074,1
2022,DEC,Office of Field Operations,Southern Border,San Diego Field Office,221200094,1
2022,MAY,Office of Field Operations,Southern Border,Laredo Field Office,220500094,1
2020,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,201000002,1
2019,FEB,U.S. Border Patrol,Southern Border,Laredo Sector,190200019,1
2019,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,190500015,1
2022,APR,Office of Field Operations,Southern Border,Laredo Field Office,220400105,1
2022,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,220900105,1
2019,JUL,Office of Field Operations,Coastal/Interior,Houston Field Office,190700061,1
2022,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,220200076,5
2022,MAY,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220500040,2
2021,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,210200060,1
2020,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,200100060,1
2020,JAN,U.S. Border Patrol,Southern Border,Del Rio Sector,200100004,1
2022,DEC,Air and Marine Operations,Coastal/Interior,Operations Directorate,221200014,1
2021,JAN,U.S. Border Patrol,Coastal/Interior,Special Operations Group,210100033,1
2022,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,221000044,1
2021,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,211200008,1
2019,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,191000047,1
2019,AUG,U.S. Border Patrol,Southern Border,Laredo Sector,190800030,1
2021,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,210500027,1
2020,JUN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,200600030,2
2022,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,221100031,1
2021,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,210300024,1
2022,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,220900102,1
2021,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,210900017,1
2019,AUG,U.S. Border Patrol,Southern Border,Del Rio Sector,190800004,1
2021,OCT,U.S. Border Patrol,Southern Border,Laredo Sector,211000030,1
2022,SEP,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220900057,1
2019,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,190500043,1
2019,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190200035,1
2021,MAR,Air and Marine Operations,Coastal/Interior,Operations Directorate,210300007,1
2021,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,210300026,1
2021,JUN,Office of Field Operations,Southern Border,El Paso Field Office,210600100,1
2020,OCT,Office of Field Operations,Southern Border,El Paso Field Office,201000077,1
2022,JUL,Office of Field Operations,Southern Border,San Diego Field Office,220700104,1
2019,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,191000013,1
2022,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,220100021,1
2019,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,191100044,11
2022,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,220200054,1
2022,JUL,U.S. Border Patrol,Southern Border,San Diego Sector,220700050,2
2021,DEC,Air and Marine Operations,Coastal/Interior,Operations Directorate,211200002,1
2021,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,210600038,1
2019,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,191100028,1
2022,JUL,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220700046,1
2021,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,211000050,1
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500074,1
2019,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,190400005,1
2020,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,200700015,1
2019,JUN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190600037,1
2021,APR,U.S. Border Patrol,Southern Border,Yuma Sector,210400083,1
2019,MAR,U.S. Border Patrol,Southern Border,San Diego Sector,190300050,1
2019,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,191100022,2
2022,MAY,Office of Field Operations,Northern Border,Boston Field Office,220500091,1
2021,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,210800097,1
2021,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,211000023,1
2022,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,220600044,1
2020,JAN,U.S. Border Patrol,Southern Border,Laredo Sector,200100027,1
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500073,1
2020,JUL,U.S. Border Patrol,Northern Border,Grand Forks Sector,200700038,1
2022,JUL,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220700048,1
2022,MAY,Office of Field Operations,Southern Border,San Diego Field Office,220500103,1
2020,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,201200018,1
2020,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,201000056,1
2019,MAY,U.S. Border Patrol,Southern Border,Big Bend Sector,190500002,2
2022,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,221200055,1
2019,JUN,Office of Field Operations,Southern Border,Laredo Field Office,190600062,1
2021,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,210500036,1
2019,JUN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190600035,1
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600061,1
2022,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,220300066,1
2021,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,211200012,1
2021,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,210300023,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400047,1
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400012,1
2019,MAY,Office of Field Operations,Southern Border,El Paso Field Office,190500066,1
2019,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,190800006,2
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600051,1
2020,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,200700019,2
2020,MAR,U.S. Border Patrol,Southern Border,Yuma Sector,200300071,1
2021,MAY,U.S. Border Patrol,Coastal/Interior,Special Operations Group,210500066,2
2022,SEP,Air and Marine Operations,Coastal/Interior,Operations Directorate,220900010,1
2021,MAR,U.S. Border Patrol,Southern Border,Laredo Sector,210300032,1
2019,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190200027,1
2020,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,200300056,1
2019,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,190700015,1
2022,JAN,Office of Field Operations,Southern Border,San Diego Field Office,220100106,1
2019,APR,U.S. Border Patrol,Southern Border,El Centro Sector,190400014,1
2020,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,200400029,2
2022,OCT,U.S. Border Patrol,Southern Border,Laredo Sector,221000034,1
2022,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220100042,1
2020,APR,U.S. Border Patrol,Southern Border,San Diego Sector,200400040,1
2019,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,190800008,1
2019,JUN,Office of Field Operations,Southern Border,El Paso Field Office,190600065,1
2021,SEP,U.S. Border Patrol,Southern Border,El Paso Sector,210900032,1
2019,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190400053,1
2021,MAR,Air and Marine Operations,Coastal/Interior,Operations Directorate,210300008,1
2021,SEP,U.S. Border Patrol,Southern Border,Big Bend Sector,210900009,1
2019,SEP,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190900035,2
2020,JUL,U.S. Border Patrol,Northern Border,Blaine Sector,200700064,17
2020,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,200100039,1
2021,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,210900049,1
2021,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210200039,1
2020,MAR,U.S. Border Patrol,Southern Border,Yuma Sector,200300067,1
2020,OCT,U.S. Border Patrol,Southern Border,Big Bend Sector,201000004,1
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500084,1
2021,APR,U.S. Border Patrol,Southern Border,Laredo Sector,210400035,1
2019,APR,U.S. Border Patrol,Northern Border,Grand Forks Sector,190400028,1
2021,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,211100063,2
2022,APR,U.S. Border Patrol,Southern Border,Tucson Sector,220400090,4
2021,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,210600059,2
2021,APR,U.S. Border Patrol,Southern Border,El Paso Sector,210400033,1
2020,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,201200005,1
2021,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,210900014,2
2022,DEC,U.S. Border Patrol,Southern Border,Big Bend Sector,221200018,1
2020,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,200100009,1
2020,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,200800044,1
2019,FEB,U.S. Border Patrol,Northern Border,Grand Forks Sector,190200015,1
2022,APR,U.S. Border Patrol,Southern Border,Laredo Sector,220400049,1
2022,NOV,Office of Field Operations,Southern Border,San Diego Field Office,221100004,1
2022,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,220700021,1
2021,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,210500040,1
2022,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,220500016,1
2020,FEB,Office of Field Operations,Southern Border,Laredo Field Office,200200066,2
2021,SEP,Office of Field Operations,Southern Border,San Diego Field Office,210900006,1
2020,JUL,U.S. Border Patrol,Southern Border,San Diego Sector,200700054,1
2022,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,221100038,1
2022,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,220300023,4
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600050,1
2022,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,220700073,1
2022,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,220400019,1
2019,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,190200050,2
2019,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,190300019,2
2022,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,220900079,1
2020,MAR,U.S. Border Patrol,Southern Border,San Diego Sector,200300044,1
2019,APR,U.S. Border Patrol,Southern Border,El Centro Sector,190400020,1
2021,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210100044,1
2021,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,210200044,1
2022,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,221000039,1
2020,NOV,U.S. Border Patrol,Southern Border,El Paso Sector,201100021,2
2019,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,191100032,1
2020,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,201100069,1
2022,DEC,Office of Field Operations,Southern Border,San Diego Field Office,221200088,1
2020,DEC,Office of Field Operations,Southern Border,Laredo Field Office,201200051,1
2019,JUN,U.S. Border Patrol,Southern Border,Laredo Sector,190600029,1
2019,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190100041,1
2020,JUL,Office of Field Operations,Southern Border,San Diego Field Office,200700103,1
2020,JUL,Office of Field Operations,Northern Border,Portland Field Office,200700095,12
2021,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210100042,1
2021,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,211000016,3
2020,JUN,U.S. Border Patrol,Southern Border,El Centro Sector,200600016,1
2019,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190100040,1
2019,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,190900008,1
2019,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,190900046,1
2022,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,220300077,1
2022,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,220200072,1
2019,MAY,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190500035,1
2021,SEP,Office of Field Operations,Southern Border,Tucson Field Office,210900090,1
2020,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,200700030,1
2020,APR,U.S. Border Patrol,Southern Border,Laredo Sector,200400027,4
2020,JUN,U.S. Border Patrol,Southern Border,El Centro Sector,200600009,1
2021,MAR,U.S. Border Patrol,Southern Border,San Diego Sector,210300043,2
2019,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,190200063,1
2021,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,210900064,1
2022,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,220500066,1
2021,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,210700015,1
2021,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,211200040,2
2020,SEP,Office of Field Operations,Northern Border,Seattle Field Office,200900064,1
2021,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,210900019,1
2021,APR,U.S. Border Patrol,Southern Border,El Paso Sector,210400031,1
2020,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,201100059,1
2020,APR,U.S. Border Patrol,Southern Border,San Diego Sector,200400037,1
2020,JUN,U.S. Border Patrol,Northern Border,Blaine Sector,200600005,1
2022,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,220900104,1
2022,APR,U.S. Border Patrol,Southern Border,Yuma Sector,220400102,1
2020,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,200100044,3
2022,FEB,U.S. Border Patrol,Southern Border,Big Bend Sector,220200005,1
2022,JUN,U.S. Border Patrol,Southern Border,Yuma Sector,220600072,1
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500071,1
2022,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,220200050,1
2021,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,211000047,1
2021,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,210100025,1
2021,APR,U.S. Border Patrol,Southern Border,Laredo Sector,210400039,2
2020,AUG,Office of Field Operations,Southern Border,Laredo Field Office,200800064,1
2022,DEC,U.S. Border Patrol,Southern Border,Laredo Sector,221200036,1
2021,OCT,Office of Field Operations,Southern Border,Tucson Field Office,211000065,2
2020,MAY,U.S. Border Patrol,Southern Border,Yuma Sector,200500045,1
2019,DEC,U.S. Border Patrol,Coastal/Interior,Special Operations Group,191200055,1
2019,OCT,U.S. Border Patrol,Southern Border,Big Bend Sector,191000002,1
2021,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,211200044,1
2021,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,210100024,1
2020,MAY,Office of Field Operations,Southern Border,Laredo Field Office,200500050,1
2021,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,210800051,1
2019,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,190400007,1
2020,JUL,Office of Field Operations,Northern Border,Portland Field Office,200700110,13
2022,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220100046,1
2022,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,221000027,1
2019,NOV,Office of Field Operations,Southern Border,San Diego Field Office,191100067,1
2021,JUN,U.S. Border Patrol,Southern Border,Del Rio Sector,210600010,1
2020,MAR,Office of Field Operations,Southern Border,San Diego Field Office,200300075,3
2022,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,221000086,2
2019,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,191200018,1
2021,DEC,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,211200032,1
2022,NOV,U.S. Border Patrol,Southern Border,Yuma Sector,221100070,2
2021,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,210800020,1
2019,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,191200010,1
2020,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,201100018,1
2022,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,221200065,1
2019,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,190700013,1
2019,MAY,Office of Field Operations,Southern Border,El Paso Field Office,190500065,1
2020,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,200300064,1
2022,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,220900017,2
2022,FEB,U.S. Border Patrol,Southern Border,Del Rio Sector,220200007,1
2020,MAY,U.S. Border Patrol,Southern Border,Yuma Sector,200500048,1
2022,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220200101,1
2019,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190100039,1
2020,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,200700027,1
2021,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,210500022,1
2022,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,220800093,2
2021,SEP,Office of Field Operations,Southern Border,San Diego Field Office,210900089,1
2022,MAR,Air and Marine Operations,Coastal/Interior,Operations Directorate,220300010,1
2022,JUL,U.S. Border Patrol,Southern Border,Yuma Sector,220700096,1
2022,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,220800061,1
2019,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,191100057,1
2021,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,210300021,1
2019,JUL,U.S. Border Patrol,Southern Border,Yuma Sector,190700049,1
2019,MAR,U.S. Border Patrol,Southern Border,Laredo Sector,190300025,1
2022,AUG,U.S. Border Patrol,Southern Border,El Paso Sector,220800042,1
2021,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210200035,1
2019,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,190700008,1
2020,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,201000015,1
2019,AUG,U.S. Border Patrol,Southern Border,El Paso Sector,190800024,1
2020,AUG,Air and Marine Operations,Coastal/Interior,Operations Directorate,200800009,1
2021,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,210500032,1
2020,JUN,Office of Field Operations,Southern Border,Laredo Field Office,200600041,1
2021,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,210600084,1
2021,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210200036,1
2020,AUG,Office of Field Operations,Southern Border,San Diego Field Office,200800033,1
2022,APR,U.S. Border Patrol,Southern Border,Yuma Sector,220400097,3
2021,MAY,U.S. Border Patrol,Coastal/Interior,Special Operations Group,210500067,2
2020,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,200600037,1
2020,AUG,U.S. Border Patrol,Northern Border,Buffalo Sector,200800012,1
2022,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,221100029,2
2022,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,220500072,2
2021,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,210800021,1
2020,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,200600021,1
2021,NOV,U.S. Border Patrol,Southern Border,Laredo Sector,211100025,1
2019,JAN,U.S. Border Patrol,Southern Border,Laredo Sector,190100031,1
2022,MAY,U.S. Border Patrol,Southern Border,Del Rio Sector,220500010,1
2022,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,220300033,1
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400011,1
2019,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,191100029,1
2022,DEC,Office of Field Operations,Southern Border,San Diego Field Office,221200081,1
2020,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,200400032,1
2022,FEB,Office of Field Operations,Southern Border,El Paso Field Office,220200085,1
2022,OCT,U.S. Border Patrol,Southern Border,Del Rio Sector,221000007,1
2022,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,221100015,1
2022,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,220500076,1
2022,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,220700014,1
2022,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,220200036,1
2019,JUL,Office of Field Operations,Southern Border,El Paso Field Office,190700060,1
2021,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210400047,1
2020,FEB,Office of Field Operations,Southern Border,El Paso Field Office,200200069,1
2021,JUL,Office of Field Operations,Southern Border,El Paso Field Office,210700069,1
