Fiscal Year,Month (abbv),Component,Region,Area of Responsibility,Unique ID,Count of Officers/Agents
2024,APR,Air and Marine Operations,Coastal/Interior,Operations Directorate,240400003,1
2023,DEC,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,231200048,1
2023,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,230800077,1
2024,MAR,U.S. Border Patrol,Coastal/Interior,Special Operations Group,240300037,2
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600067,2
2021,AUG,U.S. Border Patrol,Southern Border,Laredo Sector,210800037,1
2023,OCT,Office of Field Operations,Southern Border,San Diego Field Office,231000112,1
2023,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,230500068,1
2023,OCT,U.S. Border Patrol,Southern Border,Yuma Sector,231000108,1
2023,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,231200084,1
2022,NOV,U.S. Border Patrol,Southern Border,El Paso Sector,221100002,1
2021,APR,U.S. Border Patrol,Southern Border,Tucson Sector,210400082,1
2021,APR,U.S. Border Patrol,Southern Border,San Diego Sector,210400062,1
2024,FEB,Office of Field Operations,Southern Border,El Paso Field Office,240200099,1
2023,JAN,Air and Marine Operations,Coastal/Interior,Operations Directorate,230100010,1
2023,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,230500002,2
2023,FEB,U.S. Border Patrol,Southern Border,Del Rio Sector,230200015,1
2024,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,241200065,1
2024,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,241000011,1
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600069,1
2022,JUN,Office of Field Operations,Southern Border,San Diego Field Office,220600083,1
2024,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,240200038,1
2022,JAN,U.S. Border Patrol,Southern Border,Laredo Sector,220100031,1
2023,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,231200039,1
2021,NOV,U.S. Border Patrol,Southern Border,Del Rio Sector,211100005,1
2023,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,230400063,1
2022,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,220100071,1
2021,MAY,U.S. Border Patrol,Southern Border,Laredo Sector,210500041,1
2021,JAN,Office of Field Operations,Southern Border,Laredo Field Office,210100065,2
2022,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,220600028,1
2024,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,240500025,4
2023,APR,U.S. Border Patrol,Southern Border,El Centro Sector,230400021,2
2024,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,240500067,1
2021,JUN,Air and Marine Operations,Coastal/Interior,Operations Directorate,210600002,1
2023,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,231100023,1
2024,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,240600062,1
2024,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,240600048,1
2024,FEB,Air and Marine Operations,Coastal/Interior,Operations Directorate,240200016,1
2024,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,241000084,1
2023,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,230600064,1
2024,JAN,U.S. Border Patrol,Southern Border,Big Bend Sector,240100001,1
2022,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,220500015,1
2023,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,230800004,2
2022,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,221000020,1
2021,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,211100034,1
2022,APR,U.S. Border Patrol,Southern Border,Tucson Sector,220400089,1
2024,MAR,U.S. Border Patrol,Southern Border,Yuma Sector,240300062,1
2023,OCT,U.S. Border Patrol,Southern Border,Del Rio Sector,231000004,1
2021,AUG,Office of Field Operations,Southern Border,San Diego Field Office,210800084,1
2022,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,220700061,1
2021,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,210800063,2
2024,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,240800075,2
2022,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,220100057,1
2022,FEB,Office of Field Operations,Southern Border,San Diego Field Office,220200091,1
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600065,1
2023,NOV,U.S. Border Patrol,Southern Border,Del Rio Sector,231100020,1
2022,OCT,U.S. Border Patrol,Southern Border,Laredo Sector,221000033,1
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400008,1
2023,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,231200002,1
2023,OCT,U.S. Border Patrol,Southern Border,Laredo Sector,231000065,1
2024,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,240900061,1
